Sector,Q,Year,Burn,Slr_Tot,MnWndSp_Av,MnWndDir_Av,MaxWndGst,AvAirT_Av,AvAirT_AvDMax,AvAirT_Max,AvAirT_AvDMin,AvAirT_Min,AvHum_Av,AvHum_Max,AvHum_Min,Precip_Tot,Slr_Tot_3,MnWndSp_Av_3,MnWndDir_Av_3,MaxWndGst_3,AvAirT_Av_3,AvAirT_AvDMax_3,AvAirT_Max_3,AvAirT_AvDMin_3,AvAirT_Min_3,AvHum_Av_3,AvHum_Max_3,AvHum_Min_3,Precip_Tot_3,Slr_Tot_5,MnWndSp_Av_5,MnWndDir_Av_5,MaxWndGst_5,AvAirT_Av_5,AvAirT_AvDMax_5,AvAirT_Max_5,AvAirT_AvDMin_5,AvAirT_Min_5,AvHum_Av_5,AvHum_Max_5,AvHum_Min_5,Precip_Tot_5,BurnFrCh
0,4,1996,2485.3999999999996,0.0,0.3642876235453632,0.06776476155931181,0.16196232117909007,0.014087712057346657,-0.016763493469978685,0.041570239195110735,0.05434242166375437,0.28993478367179754,0.10237372588822206,0.011800807754644864,0.11809408714797183,0.6454472300698709,0.0,0.14015046979798315,0.11504855555102074,0.19784889193282199,-0.006118721118434273,-0.005857801032265716,-0.01047641468892773,-0.013980052248765445,-0.0594344611480783,0.019357464903647693,-0.0200762924881011,0.10173819212798313,0.18114130541061865,0.0,0.12820964909242144,0.11104831907700516,0.18465061032191,-0.007545770922880899,-0.006872547583571156,-0.006914135251356371,-0.012271539467178766,-0.039019620093270244,0.016043624918452744,-0.007307865707247177,0.03808764802897144,0.04920497246726745,-0.7450645476105514
0,1,1997,72.39999999999998,0.0,0.05554647913051729,-0.11327608074762818,-0.07276276583059152,0.030314286761518882,0.047883389148865196,0.008057085300384497,-0.0017327045494154286,-0.10137199576162355,-0.02566891170302521,0.004511250273347226,-0.057740514732068836,0.27946475284299127,0.0,0.13960865583016066,0.10206291485136276,0.16729594225508518,-0.003430093893919695,-0.00479909175297681,-0.01329805092140328,-0.007962373943649122,-0.07002123017036868,0.018566639634782268,-0.02096549170145486,0.1180315582755263,0.2347125297461442,0.0,0.12732307537268753,0.10475219490698788,0.18697492939707966,-0.009115344314672341,-0.006266823168126925,-0.006744001814256976,-0.017247219798776185,-0.07819983234426142,0.027437738478055786,-0.0022690349228183,0.0555721382703556,0.08512001729177082,-0.5687804835005814
0,2,1997,2566.1000000000004,0.0,0.024990166335996204,0.02294826176846083,-0.0669618445234742,0.009189446662838014,0.010964353957943648,-0.02868540778670628,0.014798321063582726,-0.03828217796839159,0.018112338683702812,0.007294508422190626,0.04243584654554446,-0.29678470493088077,0.0,0.13629805640600925,0.08207502531355394,0.13951616177005274,-0.0018777919716482813,-0.004840624686319738,-0.015573461792854943,-0.003870093002754319,-0.07346860916811025,0.014553929723384628,-0.02152542048425342,0.13073363566276514,0.17351542947313436,0.0,0.12352862342888775,0.10278983833712267,0.15891504659560346,-0.013227162073650187,-0.010160731337102286,-0.011200261149658025,-0.021150338530678804,-0.08203960436753874,0.0340286724969502,-0.002545605903055424,0.07612114517527255,0.0961710392067636,-0.7892378038498061
0,3,1997,11777.699999999999,0.0,0.13298845352702443,0.03356003118537264,0.10887498176391293,-0.030427925648791366,-0.025032268410220625,-0.030668231115048582,-0.033299777545916134,-0.027041761878743475,0.12246902630985335,0.05595922947997609,0.17564118423627065,1.1992801963452668,0.0,0.13021216984323047,0.07674059114813124,0.1527943178488271,-0.004542881329931976,-0.008710116242886022,-0.01759166643722909,-0.0037373577802543843,-0.07601588374690506,0.03242811988100489,-0.013602345430696397,0.14110621344551874,0.3125879048214799,0.0,0.12310194641925334,0.07865862715619745,0.15512989291092402,-0.015015943009691963,-0.011328276130359617,-0.013174399572117884,-0.023180016090064755,-0.08092091508932739,0.042538559583588084,-0.0013587202193821684,0.09605974719934963,0.1788047868698468,-0.8547205875832659
0,4,1997,443.0,0.0,0.12165186012024445,-0.11145095222113048,0.29764253932366824,-0.02755913711121969,-0.038486749683113816,0.006508088135867241,-0.014805842566746491,0.2765703121644566,0.04227341828871506,-0.0013871402129638517,0.013284310811964906,-0.12529576171630175,0.0,0.13390991336374386,0.05982787087637568,0.19201042987013528,0.002184503008828414,-0.004702983310084675,-0.008317840415040408,0.008393661371001464,-0.02621902002425147,0.02643335601175142,-0.01500823815225222,0.1387599330969208,0.31536946015363765,0.0,0.12242036796602543,0.07106613860630616,0.16452985162181138,-0.014906795966362494,-0.012468705847851915,-0.012873795499450225,-0.020588950332064686,-0.06265739642525274,0.04254129281251808,-0.0023574954462517723,0.10541939463561581,0.16955065970930225,-0.9545600686374323
0,1,1998,3.7,0.0,0.17745925234883247,-0.01325851806315581,0.052385069223653026,-0.035066955702969346,-0.08750650234878787,-0.11375110940692605,0.02963842251554997,0.09861217593014152,0.16133105420559293,0.0014297602158296065,0.753269731119171,0.5529986191524696,0.0,0.14403516826840088,0.05811863119218752,0.17584300672907852,-0.0025143580205497615,-0.011374769416821806,-0.014822639010344585,0.005650713437596751,-0.0044352366473238815,0.03556768758107162,-0.015872506028979508,0.19226300212238281,0.26253614953895704,0.0,0.12978297915902087,0.0716493149971327,0.1687305541440751,-0.012117041218869671,-0.012075981273990927,-0.013131728628494233,-0.014870555648872666,-0.0357649000578596,0.041738941504790454,-0.0029997714478570813,0.110971845932276,0.2041766621461772,-0.9779625385214387
0,2,1998,89.69999999999999,0.0,-0.03434467469028458,-0.0009257834502770012,-0.1555749753418812,-0.09746632817665776,-0.10820435075945241,-0.06536328686196678,-0.054723118456207274,0.0501418789389793,0.2844453506638834,0.016831848713952775,0.599928066751765,1.1136598136605564,0.0,0.1282935501594676,0.045853795382531704,0.1640662425309808,-0.004603368494085289,-0.014108679253296792,-0.016954407501849456,0.005361451350904499,0.003114196671187768,0.06362865227170976,0.0005588963635697722,0.2366782279051486,0.3082544002054412,0.0,0.12141963077033102,0.07512000183397488,0.15339950053161494,-0.015605515210754307,-0.015572870546125207,-0.01466518748531968,-0.017494451771265643,-0.03246496561891431,0.050482168620645196,-0.002913944277974965,0.13385626479187573,0.23930966923245062,-0.992632645261419
0,3,1998,14694.2,-0.11111536053423447,0.004323032465900642,-0.048180246401977087,-0.1031845119135252,0.006045448292147001,0.0014870475534880024,0.03408372618840659,0.0111729262375017,-0.0780239065656905,0.2167251492574349,0.038171337316423776,0.24888140661562108,0.4442559188214095,-0.009259613377852872,0.11529491963430484,0.024699246491565793,0.16087376918935853,-0.0016709546078209874,-0.011349695833437166,-0.01123707794133108,0.008220135221522455,-0.0024361392617095663,0.08391332740008962,0.013328643213765581,0.22869262191737727,0.41473402129357617,-0.005555768026711724,0.11748741679634123,0.06023199618586002,0.12847751664521706,-0.012527534489523354,-0.013790204785098778,-0.014153092089809157,-0.013476970692932296,-0.0315769743674084,0.054256982376361194,-0.00504689152216201,0.14690543251936966,0.2616265958713688,-0.8187451928700871
0,4,1998,13082.1,0.03307120096604352,0.10300166186285456,0.03514470257688507,-0.07466716008232811,-0.059232949338408405,-0.07310320505839399,-0.0678032829100463,-0.059377392323180775,-0.1303209693995914,0.03881936037084846,0.006877112002509502,-0.11970791050137516,0.35005974695066744,-0.006503679964015913,0.10973137275821253,0.022644164059501787,0.11030765818286063,-0.013385168968908824,-0.023149120996253075,-0.015840969552403737,-0.004296073362460105,-0.04470012476206094,0.08741365443335396,0.013198239629419165,0.1978510327501544,0.45135165738196736,-0.003902207978409548,0.11337109343384418,0.05925720406293995,0.11799690179066491,-0.013881438384137698,-0.01711459489934302,-0.019166969736158425,-0.013804489630500854,-0.03314649891587014,0.054539818246038894,-0.005561380182297373,0.14384252131913453,0.2845667123026801,0.3418729708312568
0,1,1999,37.1,0.043564360493863724,0.25190089845788316,0.12208465832867663,0.04061335740581011,-0.027031973333476282,-0.038529785651109746,-0.06370942859985229,-0.026367941518011955,0.01573817346908015,-0.005800185424344742,0.0007426159853935333,0.01708487386585849,-0.39864717089436796,-0.0028733165895272693,0.11027898050296064,0.02115902297338403,0.05500800065299652,-0.01578131557482187,-0.024608018425490763,-0.023385572898870426,-0.005816732413338896,-0.003090776547292579,0.08145616379032278,0.01227670973348887,0.18497948609513457,0.39875376801431744,-0.0017239899537163615,0.12286372601951898,0.06323385659696039,0.10533393814584288,-0.01513557505417871,-0.02080002807176843,-0.02444827717065559,-0.011425644495860886,-0.033643051867709176,0.05505875939865366,-0.0062833314247073115,0.1573598104375568,0.2828038507171275,-0.7790297781473974
